ID,Name,Age,Overall,Club,Value,Wage,Preferred Foot,Height,Weight
199556,M. Verratti,25,86,Paris Saint-Germain,€55M,€135K,Right,5'5,132lbs
191043,Alex Sandro,27,86,Juventus,€36.5M,€160K,Left,5'11,176lbs
190483,Douglas Costa,27,86,Juventus,€46.5M,€175K,Left,5'8,154lbs
189596,T. Müller,28,86,FC Bayern München,€45M,€135K,Right,6'1,165lbs
189509,Thiago,27,86,FC Bayern München,€45.5M,€130K,Right,5'9,154lbs
188350,M. Reus,29,86,Borussia Dortmund,€43.5M,€100K,Right,5'11,157lbs
184432,Azpilicueta,28,86,Chelsea,€35M,€175K,Right,5'10,168lbs
184344,L. Bonucci,31,86,Juventus,€30M,€160K,Right,6'3,187lbs
184087,T. Alderweireld,29,86,Tottenham Hotspur,€39M,€150K,Right,6'1,179lbs
180206,M. Pjanić,28,86,Juventus,€44M,€180K,Right,5'10,159lbs
177509,M. Benatia,31,86,Juventus,€30M,€160K,Right,6'2,207lbs
176635,M. Özil,29,86,Arsenal,€43.5M,€190K,Left,5'11,168lbs
135507,Fernandinho,33,86,Manchester City,€18M,€185K,Right,5'10,148lbs
41,Iniesta,34,86,Vissel Kobe,€21.5M,€21K,Right,5'7,150lbs
232363,M. Škriniar,23,85,Inter,€46.5M,€82K,Right,6'2,176lbs
223848,S. Milinković-Savić,23,85,Lazio,€50.5M,€73K,Right,6'3,168lbs
220834,Marco Asensio,22,85,Real Madrid,€54M,€215K,Left,6'0,168lbs
216594,N. Fekir,24,85,Olympique Lyonnais,€50M,€92K,Left,5'8,165lbs
212831,Alisson,25,85,Liverpool,€36.5M,€115K,Right,6'3,201lbs
212622,J. Kimmich,23,85,FC Bayern München,€40.5M,€92K,Right,5'9,154lbs
208421,Saúl,23,85,Atlético Madrid,€50.5M,€77K,Left,6'0,170lbs
204485,R. Mahrez,27,85,Manchester City,€40.5M,€205K,Left,5'10,148lbs
197445,D. Alaba,26,85,FC Bayern München,€38M,€110K,Left,5'11,168lbs
193747,Koke,26,85,Atlético Madrid,€45M,€88K,Right,5'9,163lbs
193301,A. Lacazette,27,85,Arsenal,€45M,€180K,Right,5'9,161lbs
192774,K. Manolas,27,85,Roma,€37.5M,€96K,Right,6'2,183lbs
192366,N. Otamendi,30,85,Manchester City,€28.5M,€170K,Right,6'0,179lbs
189513,Parejo,29,85,Valencia CF,€37M,€66K,Right,6'0,163lbs
187961,Paulinho,29,85,Guangzhou Evergrande Taobao FC,€37M,€235K,Right,6'0,157lbs
186153,W. Szczęsny,28,85,Juventus,€32M,€125K,Right,6'5,198lbs
184941,A. Sánchez,29,85,Manchester United,€37.5M,€215K,Right,5'7,163lbs
184267,Y. Brahimi,28,85,FC Porto,€39M,€28K,Right,5'9,146lbs
183907,J. Boateng,29,85,FC Bayern München,€30M,€115K,Right,6'4,198lbs
181872,A. Vidal,31,85,FC Barcelona,€26M,€205K,Right,5'11,165lbs
181458,I. Perišić,29,85,Inter,€37.5M,€110K,Right,6'1,176lbs
180930,E. Džeko,32,85,Roma,€30.5M,€115K,Right,6'4,185lbs
179846,S. Khedira,31,85,Juventus,€33M,€160K,Right,6'2,198lbs
179844,Diego Costa,29,85,Atlético Madrid,€38.5M,€100K,Right,6'2,190lbs
178518,R. Nainggolan,30,85,Inter,€35.5M,€105K,Right,5'9,170lbs
171919,Naldo,35,85,FC Schalke 04,€9M,€38K,Right,6'6,201lbs
170890,B. Matuidi,31,85,Juventus,€26M,€145K,Left,5'11,165lbs
168609,Miranda,33,85,Inter,€15.5M,€96K,Right,6'1,172lbs
165153,K. Benzema,30,85,Real Madrid,€37M,€240K,Right,6'1,179lbs
164169,Filipe Luís,32,85,Atlético Madrid,€21.5M,€81K,Left,6'0,163lbs
139720,V. Kompany,32,85,Manchester City,€22M,€170K,Right,6'3,187lbs
120533,Pepe,35,85,Beşiktaş JK,€9M,€57K,Right,6'2,179lbs
41236,Z. Ibrahimović,36,85,LA Galaxy,€14M,€15K,Right,6'5,209lbs
220793,D. Sánchez,22,84,Tottenham Hotspur,€34M,€105K,Right,6'2,174lbs
216460,J. Giménez,23,84,Atlético Madrid,€34M,€63K,Right,6'1,176lbs
212462,Alex Telles,25,84,FC Porto,€32M,€22K,Left,5'11,157lbs
212218,A. Laporte,24,84,Manchester City,€34M,€135K,Left,6'2,187lbs
212198,Bruno Fernandes,23,84,Sporting CP,€40.5M,€22K,Right,5'10,152lbs
212190,N. Süle,22,84,FC Bayern München,€36.5M,€84K,Right,6'5,214lbs
211300,A. Martial,22,84,Manchester United,€42.5M,€165K,Right,6'0,168lbs
211117,D. Alli,22,84,Tottenham Hotspur,€42.5M,€115K,Right,6'2,176lbs
209499,Fabinho,24,84,Liverpool,€34M,€120K,Right,6'2,172lbs
207865,Marquinhos,24,84,Paris Saint-Germain,€35.5M,€90K,Right,6'0,165lbs
207566,William Carvalho,26,84,Real Betis,€31.5M,€38K,Right,6'2,183lbs
205498,Jorginho,26,84,Chelsea,€38M,€155K,Right,5'11,148lbs
204970,F. Thauvin,25,84,Olympique de Marseille,€39M,€72K,Left,5'10,154lbs
204963,Carvajal,26,84,Real Madrid,€31.5M,€185K,Right,5'8,161lbs
202556,M. Depay,24,84,Olympique Lyonnais,€42M,€93K,Right,5'9,172lbs
200104,H. Son,25,84,Tottenham Hotspur,€37M,€125K,Right,6'0,143lbs
199482,A. Lopes,27,84,Olympique Lyonnais,€25M,€72K,Left,6'0,179lbs
198176,S. de Vrij,26,84,Inter,€31.5M,€88K,Right,6'2,172lbs
198009,M. Perin,25,84,Juventus,€29.5M,€105K,Right,6'2,170lbs
193082,J. Cuadrado,30,84,Juventus,€29.5M,€150K,Right,5'10,159lbs
192629,Iago Aspas,30,84,RC Celta,€30M,€45K,Left,5'9,148lbs
192563,B. Leno,26,84,Arsenal,€27M,€115K,Right,6'3,183lbs
191202,N. Matić,29,84,Manchester United,€24M,€165K,Left,6'4,187lbs
190941,L. Hrádecký,28,84,Bayer 04 Leverkusen,€22M,€74K,Right,6'4,187lbs
190584,Illarramendi,28,84,Real Sociedad,€31M,€51K,Right,5'10,165lbs
188377,K. Walker,28,84,Manchester City,€24.5M,€165K,Right,6'0,154lbs
186942,I. Gündoğan,27,84,Manchester City,€32M,€175K,Right,5'11,176lbs
185020,José Callejón,31,84,Napoli,€27.5M,€105K,Right,5'10,161lbs
183898,A. Di María,30,84,Paris Saint-Germain,€29.5M,€125K,Left,5'11,152lbs
181783,M. Mandžukić,32,84,Juventus,€25M,€160K,Right,6'3,187lbs
180403,Willian,29,84,Chelsea,€30.5M,€175K,Right,5'9,172lbs
178750,Sergio Asenjo,29,84,Villarreal CF,€24M,€42K,Right,6'2,192lbs
178562,E. Banega,30,84,Sevilla FC,€29M,€31K,Right,5'9,157lbs
177413,A. Witsel,29,84,Borussia Dortmund,€24M,€77K,Right,6'2,179lbs
177388,D. Payet,31,84,Olympique de Marseille,€27.5M,€75K,Right,5'9,170lbs
176769,Jonas,34,84,SL Benfica,€16.5M,€25K,Right,5'11,163lbs
172879,Sokratis,30,84,Arsenal,€23M,€140K,Right,6'1,187lbs
167628,S. Ruffier,31,84,AS Saint-Étienne,€19M,€41K,Right,6'2,205lbs
167397,Falcao,32,84,AS Monaco,€25M,€115K,Right,5'10,159lbs
163587,K. Schmeichel,31,84,Leicester City,€19M,€78K,Right,6'2,196lbs
157481,Raúl Albiol,32,84,Napoli,€18M,€88K,Right,6'3,181lbs
143076,A. Gómez,30,84,Atalanta,€30M,€53K,Right,5'5,150lbs
137186,A. Barzagli,37,84,Juventus,€4.2M,€95K,Right,6'2,192lbs
20775,Quaresma,34,84,Beşiktaş JK,€15.5M,€80K,Right,5'9,148lbs
9014,A. Robben,34,84,FC Bayern München,€15.5M,€110K,Left,5'11,176lbs
231443,O. Dembélé,21,83,FC Barcelona,€40M,€155K,Left,5'10,148lbs
230666,Gabriel Jesus,21,83,Manchester City,€41M,€130K,Right,5'9,161lbs
230481,Ronaldo Cabrais,26,83,Grêmio,€28M,€51K,Right,5'10,165lbs
230375,Josué Chiamulera,26,83,Grêmio,€22.5M,€43K,Right,6'1,176lbs
230294,Louri Beretta,26,83,Atlético Mineiro,€28.5M,€60K,Right,6'2,183lbs
225850,P. Kimpembe,22,83,Paris Saint-Germain,€30.5M,€82K,Left,6'2,176lbs
220971,N. Keïta,23,83,Liverpool,€34M,€120K,Right,5'8,141lbs
219683,C. Tolisso,23,83,FC Bayern München,€34M,€85K,Right,5'11,179lbs
213565,T. Lemar,22,83,Atlético Madrid,€35.5M,€64K,Left,5'7,137lbs
213345,K. Coman,22,83,FC Bayern München,€34M,€85K,Right,5'10,157lbs
213331,J. Tah,22,83,Bayer 04 Leverkusen,€29.5M,€67K,Right,6'5,214lbs
212523,Anderson Talisca,24,83,Guangzhou Evergrande Taobao FC,€36.5M,€18K,Left,6'3,176lbs
212188,T. Werner,22,83,RB Leipzig,€34.5M,€70K,Right,5'11,165lbs
210008,A. Rabiot,23,83,Paris Saint-Germain,€33M,€91K,Left,6'4,176lbs
209658,L. Goretzka,23,83,FC Bayern München,€34M,€85K,Right,6'2,174lbs
208808,Q. Promes,26,83,Sevilla FC,€30.5M,€28K,Right,5'9,159lbs
208670,H. Ziyech,25,83,Ajax,€32.5M,€28K,Left,5'11,143lbs
208618,Lucas Vázquez,27,83,Real Madrid,€27M,€205K,Right,5'8,154lbs
208418,Y. Carrasco,24,83,Dalian YiFang FC,€33M,€20K,Right,5'11,161lbs
208093,Gerard Moreno,26,83,Villarreal CF,€32M,€53K,Left,5'11,170lbs
207863,Felipe,29,83,FC Porto,€20M,€22K,Right,6'3,190lbs
207410,M. Kovačić,24,83,Chelsea,€35M,€165K,Right,5'9,172lbs
206585,Kepa,23,83,Chelsea,€28.5M,€84K,Right,6'1,187lbs
206545,Manu Trigueros,26,83,Villarreal CF,€30M,€49K,Right,5'10,165lbs
206113,S. Gnabry,22,83,FC Bayern München,€34.5M,€85K,Right,5'9,165lbs
204935,J. Pickford,24,83,Everton,€25M,€78K,Left,6'1,170lbs
204639,S. Savić,27,83,Atlético Madrid,€26M,€67K,Right,6'2,174lbs
203574,J. Stones,24,83,Manchester City,€28.5M,€125K,Right,6'2,154lbs
202651,Suso,24,83,Milan,€33M,€115K,Left,5'9,154lbs
202166,J. Draxler,24,83,Paris Saint-Germain,€32.5M,€91K,Right,6'2,170lbs
201995,Felipe Anderson,25,83,West Ham United,€31.5M,€110K,Right,5'9,154lbs
200949,Lucas Moura,25,83,Tottenham Hotspur,€31M,€115K,Right,5'9,154lbs
200888,Danilo Pereira,26,83,FC Porto,€27M,€21K,Right,6'2,183lbs
200724,Nacho Fernández,28,83,Real Madrid,€24.5M,€180K,Right,5'11,168lbs
200316,T. Horn,25,83,1. FC Köln,€24M,€25K,Left,6'4,198lbs
199914,Allan,27,83,Napoli,€26.5M,€87K,Right,5'9,163lbs
199845,F. Acerbi,30,83,Lazio,€19M,€64K,Left,6'4,194lbs
199564,Sergi Roberto,26,83,FC Barcelona,€26.5M,€170K,Right,5'10,150lbs
198329,Rodrigo,27,83,Valencia CF,€30.5M,€57K,Left,6'0,170lbs
197965,Pizzi,28,83,SL Benfica,€25.5M,€22K,Right,5'10,159lbs
195365,K. Kampl,27,83,RB Leipzig,€26.5M,€74K,Right,5'10,148lbs
194404,Neto,28,83,Valencia CF,€21M,€41K,Right,6'3,185lbs
193698,O. Baumann,28,83,TSG 1899 Hoffenheim,€21M,€42K,Right,6'2,181lbs
193474,I. Gueye,28,83,Everton,€21M,€125K,Right,5'9,146lbs
192883,H. Mkhitaryan,29,83,Arsenal,€25.5M,€145K,Right,5'10,165lbs
192638,Marcos Alonso,27,83,Chelsea,€24M,€130K,Left,6'2,192lbs
192593,D. Subašić,33,83,AS Monaco,€13M,€70K,Right,6'3,185lbs
190547,K. Glik,30,83,AS Monaco,€19M,€86K,Right,6'3,176lbs
189712,K. Strootman,28,83,Olympique de Marseille,€21M,€66K,Left,6'1,176lbs
189068,B. Dost,29,83,Sporting CP,€26M,€26K,Right,6'5,196lbs
188152,Oscar,26,83,Shanghai SIPG FC,€30.5M,€29K,Right,5'10,146lbs
186627,M. Balotelli,27,83,OGC Nice,€27.5M,€55K,Right,6'2,194lbs
185221,Luiz Gustavo,30,83,Olympique de Marseille,€19M,€63K,Left,6'2,172lbs
184942,Giuliano,28,83,Al Nassr,€26M,€64K,Right,5'8,150lbs
179944,David Luiz,31,83,Chelsea,€17.5M,€130K,Right,6'2,190lbs
179783,R. Fährmann,29,83,FC Schalke 04,€20M,€38K,Right,6'6,216lbs
178088,Juan Mata,30,83,Manchester United,€24.5M,€160K,Left,5'7,139lbs
178086,Adán,31,83,Atlético Madrid,€15.5M,€55K,Left,6'3,203lbs
178005,Rui Patrício,30,83,Wolverhampton Wanderers,€16.5M,€74K,Left,6'3,185lbs
177683,Y. Sommer,29,83,Borussia Mönchengladbach,€20M,€35K,Right,6'0,174lbs
177610,Javi Martínez,29,83,FC Bayern München,€20M,€94K,Right,6'4,190lbs
177457,L. Bender,29,83,Bayer 04 Leverkusen,€20M,€82K,Right,6'1,179lbs
176266,Lucas Leiva,31,83,Lazio,€17.5M,€64K,Right,5'10,172lbs
163705,S. Mandanda,33,83,Olympique de Marseille,€13M,€51K,Right,6'1,181lbs
162895,Cesc Fàbregas,31,83,Chelsea,€22M,€140K,Right,5'10,170lbs
162240,M. Dembélé,30,83,Tottenham Hotspur,€24M,€120K,Left,6'1,181lbs
156616,F. Ribéry,35,83,FC Bayern München,€11.5M,€72K,Right,5'7,159lbs
104389,R. Jarstein,33,83,Hertha BSC,€13M,€33K,Right,6'3,181lbs
53302,D. De Rossi,34,83,Roma,€8M,€80K,Right,6'0,183lbs
24630,Pepe Reina,35,83,Milan,€6M,€56K,Right,6'2,203lbs
236583,J. Pavlenka,26,82,SV Werder Bremen,€19.5M,€30K,Right,6'5,179lbs
235243,M. de Ligt,18,82,Ajax,€27M,€11K,Right,6'2,196lbs
231866,Rodri,22,82,Atlético Madrid,€29M,€59K,Right,6'3,181lbs
230658,Arthur,21,82,FC Barcelona,€32.5M,€125K,Right,5'7,161lbs
230621,G. Donnarumma,19,82,Milan,€29M,€23K,Right,6'5,198lbs
230258,Rosberto Dourado,30,82,Atlético Mineiro,€16.5M,€46K,Right,5'9,154lbs
230225,Juiano Mestres,34,82,Cruzeiro,€6.5M,€39K,Right,5'11,181lbs
230168,Raphaelito Anjos,30,82,Grêmio,€14M,€32K,Right,6'3,187lbs
227055,Gelson Martins,23,82,Atlético Madrid,€29.5M,€59K,Right,5'8,159lbs
224411,Gonçalo Guedes,21,82,Valencia CF,€29M,€36K,Right,5'10,150lbs
223959,L. Torreira,22,82,Arsenal,€25M,€98K,Right,5'6,141lbs
222737,Malcom,21,82,FC Barcelona,€31.5M,€140K,Left,5'8,163lbs
221087,Pau López,23,82,Real Betis,€21.5M,€21K,Left,6'2,170lbs
220814,L. Hernández,22,82,Atlético Madrid,€25.5M,€53K,Left,6'0,168lbs
220440,C. Lenglet,23,82,FC Barcelona,€26M,€135K,Left,6'1,179lbs
216354,A. Kramarić,27,82,TSG 1899 Hoffenheim,€26M,€54K,Right,5'10,161lbs
216267,A. Robertson,24,82,Liverpool,€24.5M,€98K,Left,5'10,141lbs
216194,Dani García,28,82,Athletic Club de Bilbao,€20M,€33K,Right,5'11,176lbs
212404,F. Bernardeschi,24,82,Juventus,€29.5M,€110K,Left,6'1,170lbs
212194,J. Brandt,22,82,Bayer 04 Leverkusen,€30.5M,€68K,Right,6'1,185lbs
211320,D. Rugani,23,82,Juventus,€24.5M,€95K,Right,6'3,185lbs
210617,Samu Castillejo,23,82,Milan,€29M,€94K,Left,6'0,148lbs
210514,João Cancelo,24,82,Juventus,€25.5M,€95K,Right,6'0,163lbs
210413,A. Romagnoli,23,82,Milan,€26.5M,€84K,Left,6'2,172lbs
209989,T. Partey,25,82,Atlético Madrid,€25.5M,€59K,Right,6'1,170lbs
209297,Fred,25,82,Manchester United,€26.5M,€140K,Left,5'7,141lbs
208830,J. Vardy,31,82,Leicester City,€20M,€96K,Right,5'10,163lbs
208596,A. Belotti,24,82,Torino,€30M,€58K,Right,5'11,159lbs
208448,E. Forsberg,26,82,RB Leipzig,€26M,€67K,Right,5'10,163lbs
207494,J. Lingard,25,82,Manchester United,€26.5M,€140K,Right,5'9,137lbs
207471,F. Vázquez,29,82,Sevilla FC,€21.5M,€27K,Left,6'1,181lbs
205678,E. Višća,28,82,Medipol Başakşehir FK,€22.5M,€40K,Right,5'8,139lbs
205452,A. Rüdiger,25,82,Chelsea,€22.5M,€110K,Right,6'3,187lbs
203551,A. Florenzi,27,82,Roma,€20.5M,€73K,Right,5'8,148lbs
203263,H. Maguire,25,82,Leicester City,€23.5M,€77K,Right,6'4,220lbs
202371,T. Meunier,26,82,Paris Saint-Germain,€21M,€87K,Right,6'3,198lbs
201956,S. Sané,27,82,FC Schalke 04,€18.5M,€41K,Right,6'5,187lbs
201455,G. Kondogbia,25,82,Valencia CF,€27.5M,€46K,Left,6'2,176lbs
201400,Rafinha,25,82,FC Barcelona,€29.5M,€165K,Left,5'9,157lbs
201305,Gabriel Paulista,27,82,Valencia CF,€21M,€44K,Right,6'2,174lbs
201153,Morata,25,82,Chelsea,€28.5M,€135K,Right,6'2,187lbs
199987,J. Cillessen,29,82,FC Barcelona,€18M,€135K,Right,6'1,183lbs
199451,W. Ben Yedder,27,82,Sevilla FC,€23.5M,€28K,Right,5'7,150lbs
198951,C. Bakambu,27,82,Beijing Sinobo Guoan FC,€26M,€33K,Right,6'0,161lbs
198950,Pablo Sarabia,26,82,Sevilla FC,€26M,€26K,Left,5'9,154lbs
198717,W. Zaha,25,82,Crystal Palace,€28.5M,€78K,Right,5'11,146lbs
198706,Luis Alberto,25,82,Lazio,€28.5M,€67K,Right,6'0,163lbs
198164,Jonathan Viera,28,82,Beijing Sinobo Guoan FC,€22.5M,€31K,Right,5'7,141lbs
198141,Bartra,27,82,Real Betis,€21M,€32K,Right,6'0,161lbs
197655,S. Coates,27,82,Sporting CP,€21M,€19K,Right,6'5,203lbs
195093,Willian José,26,82,Real Sociedad,€26.5M,€44K,Right,6'2,205lbs
193525,Mário Fernandes,27,82,PFC CSKA Moscow,€18.5M,€1K,Right,6'2,176lbs
193469,Víctor Ruiz,29,82,Villarreal CF,€19.5M,€43K,Left,6'1,172lbs
193283,T. Delaney,26,82,Borussia Dortmund,€21.5M,€61K,Left,6'0,174lbs
192984,K. Casteels,26,82,VfL Wolfsburg,€19.5M,€46K,Left,6'6,190lbs
192318,M. Götze,26,82,Borussia Dortmund,€27M,€67K,Right,5'9,165lbs
192227,S. Mustafi,26,82,Arsenal,€22.5M,€115K,Right,6'0,181lbs
191180,J. Pastore,29,82,Roma,€21.5M,€84K,Right,6'2,172lbs
189505,Pedro,30,82,Chelsea,€21M,€140K,Right,5'7,143lbs
189125,G. Bonaventura,28,82,Milan,€22M,€115K,Right,5'11,165lbs
189117,R. Bürki,27,82,Borussia Dortmund,€18.5M,€50K,Right,6'2,187lbs
188803,Taison,30,82,Shakhtar Donetsk,€21M,€1K,Right,5'8,141lbs
187936,S. Nzonzi,29,82,Roma,€17M,€77K,Right,6'5,165lbs
187754,Marlos,30,82,Shakhtar Donetsk,€21M,€1K,Left,5'9,152lbs
186561,A. Ramsey,27,82,Arsenal,€25M,€130K,Right,6'0,168lbs
186345,K. Trippier,27,82,Tottenham Hotspur,€18.5M,€99K,Right,5'10,159lbs
185103,A. Kolarov,32,82,Roma,€12.5M,€73K,Left,6'2,183lbs
184484,G. Sigurðsson,28,82,Everton,€22.5M,€125K,Right,6'1,181lbs
184431,S. Giovinco,31,82,Toronto FC,€20M,€15K,Right,5'4,134lbs
184200,M. Arnautović,29,82,West Ham United,€22M,€120K,Right,6'4,183lbs
184144,N. Gaitán,30,82,Dalian YiFang FC,€21M,€22K,Left,5'8,146lbs
183711,J. Henderson,28,82,Liverpool,€18M,€125K,Right,6'0,176lbs
183574,M. Kruse,30,82,SV Werder Bremen,€21.5M,€45K,Left,5'11,168lbs
183498,M. Parolo,33,82,Lazio,€9M,€59K,Right,6'0,165lbs
183376,L. Fejsa,29,82,SL Benfica,€17M,€18K,Right,6'0,176lbs
183280,A. Rami,32,82,Olympique de Marseille,€12.5M,€57K,Right,6'3,198lbs
181786,V. Ćorluka,32,82,Lokomotiv Moscow,€12.5M,€1K,Right,6'4,185lbs
181291,G. Wijnaldum,27,82,Liverpool,€23M,€130K,Right,5'9,152lbs
179847,F. Fazio,31,82,Roma,€15M,€73K,Right,6'5,187lbs
178509,O. Giroud,31,82,Chelsea,€20M,€140K,Left,6'4,203lbs
173521,Marcano,31,82,Roma,€15M,€73K,Left,6'2,170lbs
171897,A. Guardado,31,82,Real Betis,€19M,€35K,Left,5'7,148lbs
170481,E. Garay,31,82,Valencia CF,€15M,€44K,Right,6'2,198lbs
168530,Jardel,32,82,SL Benfica,€12.5M,€17K,Right,6'4,192lbs
168435,S. Sirigu,31,82,Torino,€13.5M,€45K,Right,6'4,176lbs
168354,E. Viviano,32,82,Sporting CP,€12.5M,€15K,Left,6'5,198lbs
165229,L. Koscielny,32,82,Arsenal,€12.5M,€115K,Right,6'1,165lbs
163489,A. Consigli,31,82,Sassuolo,€13.5M,€52K,Right,6'2,181lbs
158963,L. Biglia,32,82,Milan,€12.5M,€98K,Right,5'10,139lbs
146530,Dani Alves,35,82,Paris Saint-Germain,€4.8M,€62K,Right,5'8,150lbs
113422,David Villa,36,82,New York City FC,€8M,€12K,Right,5'9,152lbs
106231,Aduriz,37,82,Athletic Club de Bilbao,€8M,€29K,Right,6'0,172lbs
48940,P. Čech,36,82,Arsenal,€3M,€60K,Left,6'5,198lbs
5479,Casillas,37,82,FC Porto,€1.5M,€10K,Left,6'1,185lbs
231677,M. Rashford,20,81,Manchester United,€27M,€110K,Right,6'1,154lbs
230271,Laure Santeiro,30,81,Fluminense,€17M,€40K,Left,5'7,139lbs
229906,L. Bailey,20,81,Bayer 04 Leverkusen,€26.5M,€54K,Left,5'10,174lbs
229237,M. Akanji,22,81,Borussia Dortmund,€21M,€49K,Right,6'2,187lbs
228702,F. de Jong,21,81,Ajax,€26M,€19K,Right,5'11,154lbs
227928,Nélson Semedo,24,81,FC Barcelona,€20M,€125K,Right,5'10,148lbs
